experience_level,employment_type,job_category,employee_residence_group,remote_ratio,company_location_group,company_size,adjusted_salary
3,2,4,1,1,1,0,85847.0
2,0,1,2,1,2,2,30000.0
2,0,1,2,1,2,2,25500.0
3,2,2,0,1,0,1,175000.0
3,2,2,0,1,0,1,120000.0
3,2,2,2,0,2,0,222200.0
3,2,2,2,0,2,0,136000.0
3,2,2,0,0,0,1,219000.0
3,2,2,0,0,0,1,141000.0
3,2,2,2,0,2,1,147100.0
3,2,2,2,0,2,1,90700.0
3,2,0,2,1,2,1,130000.0
3,2,0,2,1,2,1,100000.0
0,2,2,2,0,2,0,213660.0
0,2,2,2,0,2,0,130760.0
3,2,5,2,0,2,1,147100.0
3,2,5,2,0,2,1,90700.0
3,2,2,2,0,2,1,170000.0
3,2,2,2,0,2,1,150000.0
2,2,0,2,1,2,1,150000.0
2,2,0,2,1,2,1,110000.0
3,2,1,0,0,0,1,275000.0
3,2,1,0,0,0,1,174000.0
3,2,1,0,1,0,1,230000.0
3,2,1,0,1,0,1,143200.0
3,2,1,2,0,2,1,225000.0
3,2,1,2,0,2,1,156400.0
3,2,1,2,0,2,1,200000.0
3,2,1,2,0,2,1,130000.0
3,2,5,0,0,0,1,90000.0
3,2,5,0,0,0,1,72000.0
3,2,1,2,0,2,1,253200.0
3,2,1,2,0,2,1,90700.0
3,2,1,2,0,2,1,184590.0
2,2,1,2,0,2,1,162500.0
2,2,1,2,0,2,1,130000.0
2,2,0,2,0,2,1,105380.0
2,2,0,2,0,2,1,64500.0
0,2,0,1,1,1,0,100000.0
0,2,0,1,1,1,0,30000.0
2,2,1,1,2,1,0,22201.072
0,2,2,2,0,2,0,204620.0
0,2,2,2,0,2,0,110680.0
3,2,1,2,0,2,1,270703.0
3,2,1,2,0,2,1,221484.0
3,2,2,2,1,2,1,212750.0
3,2,2,2,1,2,1,185000.0
3,2,2,2,1,2,1,262000.0
3,2,2,2,1,2,1,245000.0
3,2,2,2,1,2,1,275300.0
3,2,2,2,1,2,1,183500.0
3,2,2,2,1,2,1,218500.0
3,2,2,2,1,2,1,199098.0
3,2,1,2,1,2,1,203300.0
3,2,1,2,1,2,1,123600.0
3,2,1,2,0,2,1,189110.0
3,2,1,2,0,2,1,139000.0
1,2,2,2,0,2,1,258750.0
1,2,2,2,0,2,1,185000.0
3,2,1,2,1,2,1,231500.0
3,2,1,2,1,2,1,166000.0
3,2,2,2,1,2,1,172500.0
3,2,2,2,1,2,1,110500.0
3,2,1,2,0,2,1,238000.0
3,2,1,2,0,2,1,176000.0
3,2,1,2,1,2,1,237000.0
3,2,1,2,1,2,1,201450.0
3,2,2,2,0,2,0,309400.0
3,2,2,2,0,2,0,159100.0
3,2,1,2,0,2,1,115000.0
3,2,1,2,0,2,1,81500.0
3,2,2,2,1,2,1,237000.0
3,2,2,2,1,2,1,201450.0
3,2,1,2,0,2,1,280000.0
3,2,1,2,0,2,1,210000.0
3,2,1,2,1,2,1,280100.0
3,2,1,2,1,2,1,168100.0
3,2,1,2,1,2,1,193500.0
3,2,1,2,1,2,1,139000.0
2,2,2,1,0,1,0,65062.0
3,2,1,1,1,2,1,150000.0
2,2,1,1,1,0,2,69751.0
0,2,3,1,2,1,0,312420.00000000006
2,2,1,0,1,0,0,96578.0
3,2,1,2,0,2,1,185900.0
3,2,1,2,0,2,1,129300.0
3,2,1,2,1,2,1,225000.0
3,2,1,2,1,2,1,175000.0
3,2,1,2,0,2,1,185000.0
3,2,1,2,0,2,1,140000.0
3,2,2,1,0,1,1,48289.0
3,2,2,1,0,1,1,38631.0
3,2,2,2,0,2,1,105000.0
3,2,2,2,0,2,1,70000.0
0,2,1,2,0,2,1,163196.0
0,2,1,2,0,2,1,145885.0
3,2,1,2,1,2,1,217000.0
3,2,1,2,1,2,1,185000.0
3,2,0,2,0,2,0,202800.0
3,2,0,2,0,2,0,104300.0
3,2,0,2,0,2,1,145000.0
3,2,0,2,0,2,1,65000.0
3,2,1,2,0,2,1,165000.0
3,2,1,2,0,2,1,132300.0
3,2,1,2,0,2,1,179170.0
3,2,1,2,0,2,1,94300.0
3,2,1,2,0,2,1,152500.0
3,2,1,2,0,2,1,116450.0
3,2,1,2,0,2,1,247300.0
3,2,1,2,0,2,1,133800.0
3,2,1,2,0,2,1,203000.0
3,2,1,2,0,2,1,133000.0
0,2,2,2,2,2,0,220000.0
0,2,1,1,1,1,2,59815.088
3,2,2,2,0,2,1,120000.0
3,2,1,2,0,2,1,289800.0
3,2,1,2,0,2,1,214000.0
3,2,1,2,0,2,1,179820.0
3,2,1,2,0,2,1,143860.0
3,2,1,2,1,2,1,283200.0
3,2,1,2,1,2,1,188800.0
3,2,1,2,0,2,1,214200.0
3,2,1,2,0,2,1,185900.0
3,2,1,2,0,2,1,129300.0
3,2,1,2,0,2,1,252000.0
3,2,1,2,0,2,1,129000.0
2,2,4,2,0,2,1,155000.0
2,2,4,2,0,2,1,140000.0
3,2,1,2,1,2,1,161800.0
3,2,1,2,1,2,1,141600.0
3,2,1,2,0,2,0,176100.0
2,2,1,2,1,2,1,100000.0
2,2,1,2,1,2,1,70000.0
0,2,1,2,0,2,1,85000.0
0,2,1,2,0,2,1,65000.0
3,2,2,2,1,2,1,138784.0
3,2,2,2,1,2,1,83270.0
0,2,0,2,0,2,1,75000.0
0,2,0,2,0,2,1,70000.0
3,2,0,2,0,2,1,204500.0
3,2,0,2,0,2,1,138900.0
3,2,1,2,1,2,1,212200.0
3,2,1,2,1,2,1,95000.0
3,2,1,2,1,2,1,75000.0
3,2,2,2,0,2,1,195000.0
3,2,2,2,0,2,1,160000.0
3,2,1,2,0,2,1,230000.0
3,2,1,2,0,2,1,143200.0
2,2,0,2,2,2,0,105000.0
2,2,2,1,1,1,0,20670.0
2,2,0,0,0,0,1,46178.0
2,2,0,0,0,0,1,42533.0
3,2,1,2,0,2,1,145000.0
3,2,0,2,0,2,1,168400.0
3,2,0,2,0,2,1,105200.0
3,2,1,2,0,2,1,190000.0
3,2,1,2,0,2,1,150000.0
3,2,1,2,1,2,1,150000.0
3,2,1,2,1,2,1,120000.0
3,2,1,2,0,2,1,120000.0
3,2,0,1,1,1,1,54685.0
3,2,0,1,1,1,1,42533.0
3,2,1,2,0,2,1,241000.0
3,2,1,2,0,2,1,155000.0
3,2,1,2,1,2,1,220000.0
3,2,1,2,1,2,1,190000.0
2,2,2,0,0,0,1,66837.0
2,2,2,0,0,0,1,54685.0
2,2,1,0,1,0,1,85066.0
2,2,1,0,1,0,1,57723.0
0,2,0,2,1,2,1,85000.0
0,2,0,2,1,2,1,75000.0
3,2,1,2,0,2,1,160000.0
2,2,1,2,0,2,1,300000.0
2,2,1,2,0,2,1,250000.0
3,2,2,2,0,2,1,228000.0
3,2,2,2,0,2,1,186000.0
3,2,2,2,0,2,1,190000.0
2,2,1,2,0,2,1,230000.0
2,2,1,2,0,2,1,200000.0
3,2,1,2,1,2,1,180000.0
3,2,1,2,1,2,1,115000.0
3,2,1,2,1,2,1,200000.0
3,2,1,0,2,0,2,53654.0
1,2,1,2,0,2,1,220000.0
1,2,1,2,0,2,1,205000.0
2,2,1,2,0,2,1,180000.0
3,2,1,2,1,2,1,200000.0
3,2,1,2,1,2,1,150000.0
3,2,1,2,0,2,1,215000.0
3,2,1,2,0,2,1,170000.0
3,2,1,2,0,2,1,247500.0
3,2,1,2,0,2,1,172200.0
3,2,2,0,0,0,1,224000.0
3,2,2,0,0,0,1,176000.0
3,2,0,2,1,2,1,120000.0
3,2,0,2,1,2,1,75000.0
0,2,1,1,1,1,0,17022.0
3,2,2,0,1,1,1,68318.0
2,2,3,1,0,1,1,75020.0
3,2,0,2,0,2,1,140000.0
3,2,0,2,0,2,1,120000.0
3,2,1,2,0,2,1,128000.0
1,2,4,2,0,2,1,269600.0
3,2,0,2,0,2,1,100000.0
3,2,0,2,0,2,1,80000.0
3,2,2,2,0,2,1,250000.0
3,2,2,2,0,2,1,162500.0
2,2,3,2,1,2,1,200000.0
3,2,1,2,0,2,1,100000.0
1,2,1,2,0,2,1,145000.0
1,2,1,2,0,2,1,115000.0
3,2,2,2,0,2,1,203500.0
3,2,2,2,0,2,1,152000.0
3,2,2,2,0,2,0,239000.0
3,2,2,2,0,2,0,122900.0
3,2,2,2,0,2,1,237000.0
3,2,2,2,0,2,1,145000.0
3,2,4,2,0,2,1,191765.0
3,2,4,2,0,2,1,134236.0
3,2,1,2,1,2,1,190000.0
3,2,1,2,1,2,1,112000.0
3,2,2,1,1,0,0,93374.848
3,2,0,2,0,2,1,135000.0
3,2,0,2,0,2,1,105500.0
3,2,1,2,0,2,1,293000.0
3,2,1,2,0,2,1,185000.0
3,2,0,2,0,2,1,80000.0
3,2,0,2,0,2,1,70000.0
3,2,1,2,1,2,1,160000.0
3,2,2,2,1,2,1,175000.0
3,2,2,2,1,2,1,145000.0
3,2,0,2,0,2,1,200000.0
3,2,0,2,0,2,1,148500.0
3,2,1,2,0,2,0,240500.0
3,2,1,2,0,2,0,123700.0
3,2,1,2,1,2,1,152900.0
3,2,1,2,1,2,1,117100.0
3,2,1,2,1,2,1,173000.0
3,2,1,2,1,2,1,113000.0
3,2,2,2,0,2,0,260000.0
1,2,1,2,0,2,1,175000.0
1,2,1,2,0,2,1,110000.0
3,2,2,2,1,2,1,130000.0
3,2,2,2,1,2,1,110000.0
3,2,2,2,1,2,1,205000.0
3,2,2,2,1,2,1,184000.0
3,2,0,2,1,2,1,149500.0
3,2,0,2,1,2,1,127075.0
3,2,1,2,1,2,1,219535.0
3,2,1,2,1,2,1,146115.0
3,2,2,2,0,2,1,135000.0
3,2,2,2,0,2,1,199000.0
3,2,2,2,0,2,1,162000.0
1,2,1,2,1,2,1,221000.0
1,2,1,2,1,2,1,153000.0
3,2,0,2,0,2,1,187000.0
3,2,0,2,0,2,1,128000.0
3,2,2,2,0,2,1,210000.0
3,2,2,2,0,2,1,136000.0
3,2,2,2,1,2,1,100000.0
3,2,1,2,0,2,1,179000.0
3,2,1,2,0,2,1,109000.0
3,2,2,2,0,2,1,245000.0
3,2,2,2,0,2,1,180000.0
3,2,0,2,1,2,1,142000.0
3,2,4,2,0,2,1,198800.0
3,2,4,2,0,2,1,105200.0
3,2,0,2,1,2,1,125000.0
3,2,0,2,1,2,1,112000.0
3,2,2,2,0,2,1,210000.0
3,2,2,2,0,2,1,155000.0
3,2,4,2,1,2,1,115000.0
3,2,4,2,1,2,1,86000.0
3,2,2,2,0,2,1,165000.0
3,2,2,2,0,2,1,140000.0
3,2,0,2,0,2,1,139000.0
3,2,0,2,0,2,1,106000.0
0,2,0,0,0,0,0,40663.0
3,2,3,0,0,0,2,286385.0
3,1,2,1,2,1,2,50000.0
2,2,1,2,1,2,1,280700.0
2,2,1,2,1,2,1,150450.0
0,2,2,0,1,0,0,51753.0
3,2,1,2,0,2,1,250500.0
3,2,1,2,0,2,1,159500.0
0,2,2,2,1,2,1,130001.0
0,2,2,2,1,2,1,71907.0
2,2,2,2,1,2,1,93918.0
2,2,2,2,1,2,1,51962.0
3,2,0,0,1,0,1,175000.0
3,2,0,0,1,0,1,135000.0
3,2,1,2,0,2,1,257000.0
3,2,1,2,0,2,1,147000.0
3,2,1,2,1,2,1,222000.0
3,2,2,2,1,2,1,203000.0
3,2,2,2,1,2,1,133200.0
3,2,1,2,0,2,1,221000.0
3,2,1,2,0,2,1,147000.0
3,2,2,2,0,2,1,185900.0
3,2,2,2,0,2,1,129300.0
3,2,2,2,1,2,1,238000.0
3,2,2,2,1,2,1,156000.0
3,2,1,2,1,2,1,304000.0
3,2,1,2,1,2,1,199000.0
2,2,1,1,1,1,1,48289.0
3,2,1,2,0,2,1,150000.0
3,2,1,2,0,2,1,130000.0
3,2,2,2,1,2,1,140000.0
3,2,2,2,1,2,1,110000.0
2,2,0,2,0,2,1,90000.0
2,2,0,2,0,2,1,75000.0
2,2,2,0,0,0,1,195895.0
2,2,2,0,0,0,1,102772.0
3,2,1,2,0,2,1,240000.0
3,2,1,2,0,2,1,183600.0
2,2,5,2,0,2,1,130000.0
2,2,5,2,0,2,1,80000.0
3,2,1,2,0,2,1,250000.0
3,2,4,2,1,2,1,160000.0
3,2,4,2,1,2,1,120000.0
3,2,1,2,0,2,1,289076.0
3,2,1,2,0,2,1,202353.0
3,2,0,2,0,2,1,155000.0
3,2,1,2,0,2,1,200000.0
3,2,2,2,1,2,1,157750.0
3,2,2,2,1,2,1,104650.0
2,2,2,2,1,2,1,180000.0
2,2,2,2,1,2,1,140000.0
1,2,2,2,0,2,1,200000.0
1,2,2,2,0,2,1,145000.0
2,2,4,2,0,2,0,68000.0
0,2,1,2,1,2,1,60000.0
2,2,1,2,0,2,1,125000.0
2,2,1,2,0,2,1,90000.0
3,2,0,2,1,2,1,105000.0
3,2,0,2,1,2,1,90000.0
0,2,1,2,0,2,1,155000.0
0,2,1,2,0,2,1,125000.0
3,2,1,2,0,2,1,241000.0
3,2,1,2,0,2,1,181000.0
3,2,2,2,0,2,1,252000.0
3,2,2,2,0,2,1,154000.0
1,2,1,2,0,2,1,180000.0
1,2,1,2,0,2,1,155000.0
3,2,2,2,0,2,1,191765.0
3,2,2,2,0,2,1,134236.0
3,2,1,2,0,2,1,146000.0
3,2,1,2,0,2,1,75000.0
0,2,0,2,1,2,1,64200.0
0,2,0,2,1,2,1,56100.0
3,2,1,2,0,2,1,170000.0
3,2,0,2,1,2,1,208450.0
3,2,0,2,1,2,1,170550.0
3,2,1,2,0,2,1,125000.0
3,2,1,2,0,2,1,100000.0
2,2,4,2,0,2,1,135000.0
2,2,4,2,0,2,1,120000.0
3,2,2,2,1,2,1,200000.0
3,2,2,2,1,2,1,170000.0
3,2,2,0,0,0,1,171250.0
3,2,2,0,0,0,1,113750.0
3,2,0,2,0,2,1,153600.0
3,2,0,2,0,2,1,100500.0
3,2,1,0,1,0,1,115000.0
3,2,1,0,1,0,1,95000.0
2,2,0,2,0,2,1,182500.0
2,2,0,2,0,2,1,121500.0
3,2,1,2,0,2,1,203100.0
3,2,1,2,0,2,1,114500.0
2,2,0,0,0,0,1,72914.0
2,2,0,0,0,0,1,54685.0
0,2,1,2,1,2,1,92700.0
0,2,1,2,1,2,1,61800.0
3,2,1,2,1,2,1,130000.0
3,2,2,0,0,0,1,258000.0
3,2,2,0,0,0,1,190000.0
2,2,1,2,0,2,1,167500.0
2,2,1,2,0,2,1,106500.0
2,2,1,2,0,2,1,146000.0
2,2,1,2,0,2,1,75000.0
0,2,1,0,1,0,0,63361.504
1,2,1,2,1,2,1,286000.0
1,2,1,2,1,2,1,207000.0
3,2,0,2,1,2,1,80000.0
3,2,1,2,0,2,1,223250.0
3,2,1,2,0,2,1,178600.0
1,2,4,2,0,2,1,249300.0
2,2,2,2,0,2,1,230000.0
2,2,2,2,0,2,1,220000.0
3,2,2,2,1,2,1,297300.0
3,2,2,2,1,2,1,198200.0
2,2,2,2,1,2,1,210000.0
2,2,2,2,1,2,1,151800.0
3,2,2,2,0,2,1,317070.0
3,2,2,2,0,2,1,170730.0
0,2,0,1,0,1,1,21461.0
3,2,3,1,0,1,1,108000.0
3,2,3,1,0,1,1,60000.0
2,2,1,2,1,2,1,134000.0
2,2,1,2,1,2,1,124000.0
3,2,1,2,0,2,1,171250.0
3,2,1,2,0,2,1,113750.0
3,2,2,2,0,2,1,225000.0
3,2,2,2,0,2,1,175000.0
3,2,1,2,0,2,1,230000.0
3,2,1,2,0,2,1,124500.0
3,2,0,2,0,2,1,175000.0
3,2,0,2,0,2,1,148700.0
3,2,0,2,0,2,1,125600.0
3,2,2,2,0,2,1,200000.0
3,2,2,2,0,2,1,150000.0
0,2,1,2,0,2,1,160000.0
0,2,1,2,0,2,1,120000.0
3,2,0,2,1,2,1,185000.0
3,2,0,2,1,2,1,120250.0
3,2,2,2,1,2,1,183000.0
3,2,1,2,1,2,1,170000.0
3,2,1,2,1,2,1,125000.0
3,2,2,2,0,2,1,250000.0
2,2,1,2,2,2,0,135000.0
3,2,1,2,1,2,1,216000.0
3,2,1,2,1,2,1,184000.0
3,2,1,2,1,2,1,180000.0
3,2,1,2,1,2,1,165000.0
2,2,1,2,0,2,1,143865.0
2,2,1,2,0,2,1,115092.0
2,2,1,2,0,2,1,130000.0
2,2,1,2,0,2,1,90000.0
3,2,2,2,1,2,1,173000.0
3,2,2,2,1,2,1,132000.0
3,2,0,2,0,2,1,208049.0
3,2,0,2,0,2,1,128500.0
3,2,1,2,0,2,1,167500.0
3,2,1,2,0,2,1,106500.0
2,2,1,2,0,2,1,149600.0
2,2,1,2,0,2,1,102000.0
1,2,2,2,0,2,1,100000.0
3,2,0,2,1,2,1,190000.0
3,2,0,2,1,2,1,95000.0
3,2,0,2,0,2,1,106800.0
2,2,2,0,0,0,1,96578.0
2,2,2,0,0,0,1,80481.0
2,2,0,2,0,2,1,128000.0
2,2,0,2,0,2,1,85000.0
2,2,1,2,0,2,1,151000.0
2,2,1,2,0,2,1,140000.0
3,2,2,2,0,2,1,220000.0
3,2,2,2,0,2,1,170000.0
0,2,5,1,0,1,2,7000.0
0,2,2,0,2,0,1,42923.0
3,2,1,0,1,0,1,160000.0
3,2,1,0,1,0,1,145000.0
2,2,0,2,0,2,1,154000.0
2,2,0,2,0,2,1,143000.0
2,2,2,0,0,0,1,78990.0
2,2,2,0,0,0,1,51039.0
0,2,2,2,0,2,1,190000.0
0,2,2,2,0,2,1,120000.0
2,2,2,0,0,0,1,85066.0
2,2,2,0,0,0,1,109371.0
2,2,2,0,0,0,1,72914.0
3,2,1,2,0,2,1,111000.0
1,2,1,2,0,2,1,265000.0
1,2,1,2,0,2,1,235000.0
0,2,2,1,2,1,0,121093.0
2,2,2,0,1,0,1,77811.668
2,2,1,2,1,2,1,75000.0
2,2,1,2,1,2,1,60400.0
3,2,4,0,1,0,0,182302.92200000002
2,2,2,1,1,0,1,60093.0
2,2,0,2,1,2,1,83500.0
2,2,0,2,1,2,1,52500.0
3,2,2,2,0,2,1,201036.0
3,2,2,2,0,2,1,134024.0
3,2,0,2,1,2,1,165000.0
3,2,0,2,1,2,1,140000.0
0,2,1,2,1,2,1,62000.0
0,2,1,2,1,2,1,58000.0
3,2,2,2,0,2,1,172000.0
3,2,2,2,0,2,1,115000.0
0,2,1,2,0,2,1,125000.0
0,2,1,2,0,2,1,90000.0
3,2,1,2,0,2,1,163800.0
3,2,1,2,0,2,1,126000.0
2,2,1,2,1,2,1,90000.0
3,2,1,2,0,2,1,139500.0
3,2,1,2,0,2,1,109400.0
2,2,1,2,0,2,1,145000.0
2,2,1,2,0,2,1,120000.0
3,2,1,2,0,2,0,205600.0
3,2,1,2,0,2,0,105700.0
3,2,2,2,0,2,1,239748.0
3,2,2,2,0,2,1,159832.0
3,2,2,2,1,2,1,186300.0
3,2,2,2,1,2,1,102500.0
3,2,2,2,0,2,1,126000.0
3,2,1,2,1,2,1,149040.0
3,2,1,2,1,2,1,113900.0
3,2,1,2,1,2,1,153600.0
3,2,1,2,1,2,1,106800.0
3,2,1,2,1,2,1,172600.0
3,2,1,2,1,2,1,107900.0
3,2,0,2,0,2,1,180180.0
3,2,0,2,0,2,1,106020.0
3,2,1,2,1,2,1,213120.0
3,2,0,2,1,2,1,206500.0
3,2,0,2,1,2,1,121600.0
3,2,1,2,0,2,1,260000.0
3,2,1,2,0,2,1,225000.0
1,2,1,2,0,2,1,194500.0
1,2,1,2,0,2,1,115500.0
3,2,1,2,1,2,0,170000.0
3,2,2,2,1,2,0,90000.0
0,2,0,2,1,2,1,95000.0
0,2,0,2,1,2,1,70000.0
3,2,1,2,0,2,1,275000.0
3,2,0,2,1,2,1,115934.0
3,2,0,2,1,2,1,81666.0
3,2,1,2,1,2,1,150000.0
3,2,1,2,1,2,1,120000.0
3,2,1,2,0,2,1,200000.0
3,2,1,2,0,2,1,175000.0
2,2,0,2,0,2,1,206000.0
2,2,0,2,0,2,1,130000.0
3,2,1,0,1,0,1,138000.0
3,2,1,0,1,0,1,92000.0
3,2,4,1,0,1,1,65000.0
3,2,4,1,0,1,1,48000.0
3,2,0,2,1,2,1,110000.0
3,2,1,2,0,2,1,130000.0
3,2,1,2,0,2,1,87000.0
2,2,0,2,0,2,1,160000.0
2,2,0,2,0,2,1,112000.0
3,2,4,2,0,2,1,299500.0
3,2,4,2,0,2,1,245100.0
2,2,2,2,0,2,1,145000.0
2,2,2,2,0,2,1,100000.0
3,2,1,2,0,2,1,147100.0
0,2,1,2,0,2,1,115100.0
0,2,1,2,0,2,1,73900.0
3,2,1,2,0,2,1,168400.0
3,2,1,2,0,2,1,105200.0
2,2,0,2,0,2,1,100000.0
2,2,1,0,1,0,1,85066.0
2,2,1,0,1,0,1,57723.0
2,2,1,2,0,2,1,95000.0
2,2,0,2,1,2,0,130000.0
3,2,2,2,0,2,1,205000.0
3,2,2,2,0,2,1,141288.0
3,2,2,2,0,2,1,94192.0
3,2,1,2,1,2,1,184000.0
3,2,1,2,1,2,1,143000.0
3,2,0,2,0,2,1,55000.0
3,2,1,2,1,2,1,275300.0
3,2,1,2,1,2,1,183500.0
2,2,0,2,1,2,1,75000.0
2,2,0,2,1,2,1,65000.0
2,2,1,2,0,2,1,160000.0
2,2,1,2,0,2,1,147000.0
2,2,1,0,1,0,0,75020.0
2,2,2,1,1,1,0,17022.0
0,2,3,0,2,0,1,80000.0
2,2,4,1,2,1,0,18238.0
2,2,1,2,0,2,1,150000.0
1,2,1,2,1,2,1,210914.0
1,2,1,2,1,2,1,116704.0
0,2,2,2,0,2,1,150000.0
0,2,2,2,0,2,1,100000.0
0,2,0,2,1,2,1,60000.0
2,2,1,2,0,2,1,185700.0
2,2,1,2,0,2,1,165000.0
3,2,0,2,0,2,1,169000.0
3,2,0,2,0,2,1,110600.0
3,2,1,2,1,2,1,193000.0
3,2,1,2,1,2,1,136850.0
3,2,1,2,0,2,1,139500.0
3,2,1,2,0,2,1,109400.0
3,2,1,2,1,2,1,276000.0
3,2,1,2,1,2,1,178500.0
2,2,2,1,0,1,1,59020.0
2,2,2,1,0,1,1,48289.0
2,2,1,1,1,1,1,75116.0
2,2,1,1,1,1,1,48289.0
3,2,1,0,0,0,1,195652.0
3,2,1,0,0,0,1,101228.0
3,2,1,0,0,0,1,136956.0
3,2,1,0,0,0,1,101228.0
3,2,5,2,1,2,0,135382.0
2,2,4,2,1,2,1,166363.65
3,2,1,0,1,0,1,260000.0
3,2,1,0,1,0,1,110000.0
3,2,1,2,1,2,1,170000.0
3,2,1,2,1,2,1,130000.0
3,2,1,2,0,2,1,163800.0
3,2,1,2,0,2,1,126000.0
2,2,2,2,0,2,1,128750.0
2,2,2,2,0,2,1,106250.0
1,2,1,2,0,2,1,167500.0
1,2,1,2,0,2,1,106500.0
3,2,1,2,1,2,1,188500.0
3,2,1,2,1,2,1,117000.0
3,2,0,2,1,2,1,250000.0
3,2,0,2,1,2,1,138000.0
2,2,0,0,1,0,1,130000.0
2,2,0,0,1,0,1,100000.0
3,2,2,0,0,0,0,123405.0
3,2,0,2,0,2,1,160000.0
3,2,0,2,0,2,1,135000.0
2,2,4,2,0,2,1,104500.0
2,2,4,2,0,2,1,70000.0
2,2,5,2,0,2,1,90000.0
2,2,5,2,0,2,1,70000.0
2,2,2,2,1,2,1,185000.0
2,2,2,2,1,2,1,125000.0
3,2,0,2,1,2,1,127000.0
3,2,0,2,1,2,1,94000.0
3,2,2,2,0,2,1,210550.0
3,2,2,2,0,2,1,153300.0
2,2,2,2,1,2,1,200000.0
2,2,2,2,1,2,1,150000.0
3,2,0,2,1,2,1,161500.0
3,2,0,2,1,2,1,119500.0
3,2,2,2,0,2,1,148750.0
3,2,5,2,0,2,1,105000.0
3,2,5,2,0,2,1,85000.0
3,2,2,2,0,2,1,215000.0
3,2,2,2,0,2,1,146300.0
0,2,3,0,1,0,0,214618.0
2,2,1,1,1,1,1,72000.0
2,2,1,1,1,1,1,60000.0
3,2,1,2,0,2,1,153400.0
3,2,1,2,0,2,1,122700.0
2,2,1,2,0,2,1,260000.0
2,2,1,2,0,2,1,175000.0
3,2,2,2,1,2,1,123900.0
2,2,2,2,1,2,1,150000.0
2,2,1,2,0,2,1,250000.0
2,2,2,0,2,0,1,64385.0
3,2,0,2,0,2,1,185900.0
3,2,0,2,0,2,1,121700.0
3,1,1,1,2,0,1,50000.0
0,2,0,1,1,2,0,100000.0
1,2,1,2,1,2,1,310000.0
1,2,1,2,1,2,1,239000.0
3,2,0,2,0,2,1,125000.0
3,2,0,2,0,2,1,110000.0
0,2,0,2,0,2,1,150000.0
0,2,0,2,0,2,1,100000.0
3,2,2,2,0,2,1,149076.0
3,2,2,2,0,2,1,82365.0
2,2,0,0,0,0,1,97218.0
2,2,0,0,0,0,1,48609.0
3,2,0,2,0,2,1,95000.0
3,2,0,2,0,2,1,85500.0
2,2,2,2,1,2,1,97750.0
3,2,2,2,0,2,1,201000.0
3,2,2,2,0,2,1,122000.0
2,2,2,2,1,2,1,116990.0
2,2,2,2,1,2,1,82920.0
2,2,2,2,0,2,2,200000.0
2,2,2,2,0,2,2,125000.0
3,2,1,2,0,2,1,204500.0
3,2,1,2,0,2,1,142200.0
3,2,4,2,0,2,1,155000.0
3,2,4,2,0,2,1,140000.0
2,2,1,2,0,2,1,205920.0
2,2,1,2,0,2,1,171600.0
3,2,1,2,1,2,1,121500.0
3,2,1,2,1,2,1,78000.0
2,2,1,2,0,2,1,154000.0
2,2,1,2,0,2,1,116000.0
3,2,2,2,0,2,1,136000.0
2,2,0,0,1,0,1,78990.0
2,2,0,0,1,0,1,43809.0
3,2,0,2,0,2,1,180000.0
3,2,1,2,0,2,1,170000.0
3,2,1,2,0,2,1,154000.0
3,2,1,2,0,2,1,116000.0
2,2,1,2,0,2,1,200000.0
3,2,2,2,1,2,1,160000.0
2,2,1,0,0,0,1,127599.0
2,2,1,0,0,0,1,103294.0
3,2,1,2,0,2,1,153600.0
3,2,1,2,0,2,1,106800.0
3,2,2,2,0,2,1,156400.0
3,2,1,2,0,2,1,150000.0
3,2,1,2,0,2,1,120000.0
3,2,0,2,1,2,1,145000.0
3,2,2,2,0,2,1,260000.0
0,2,0,1,2,1,1,30000.0
2,2,2,2,0,2,1,185000.0
2,2,2,2,0,2,1,125000.0
0,3,0,2,1,2,2,35740.848000000005
2,2,0,1,1,1,1,9827.762
3,2,4,1,1,1,0,75116.0
3,2,0,2,1,2,1,175000.0
3,2,0,2,1,2,1,122000.0
3,2,0,2,1,2,1,93800.0
3,2,4,1,1,1,1,150000.0
3,2,4,1,1,1,1,90000.0
0,2,1,2,0,2,1,220000.0
3,2,0,0,1,0,1,71897.0
0,2,3,0,0,0,1,64385.0
3,2,0,1,1,1,2,15806.0
2,2,1,2,0,2,1,200000.0
2,2,1,2,0,2,1,175000.0
2,2,2,0,2,0,0,40000.0
3,2,5,1,2,1,1,29453.0
3,2,2,2,1,2,1,136000.0
3,2,2,2,1,2,1,104000.0
3,2,0,2,0,2,1,152380.0
3,2,0,2,0,2,1,121904.0
3,2,1,2,0,2,1,168400.0
3,2,1,2,0,2,1,105200.0
3,2,1,2,0,2,1,128280.0
3,2,1,2,0,2,1,106900.0
3,2,4,2,1,2,0,199948.80000000002
2,2,1,2,0,2,1,100000.0
3,2,1,0,1,0,2,107309.0
3,2,1,0,1,0,2,85847.0
3,2,1,0,0,0,1,275000.0
3,2,1,0,0,0,1,174000.0
3,2,0,2,1,2,1,170500.0
3,2,0,2,1,2,1,85000.0
3,2,4,0,0,0,1,72946.0
3,2,4,0,0,0,1,54365.0
1,2,4,0,0,0,1,160288.0
1,2,4,0,0,0,1,127467.0
3,2,1,2,0,2,1,80000.0
3,2,1,2,0,2,1,65000.0
